date,units_produced,copper_price,electricity_rate,labor_cost_index,transportation_cost,manufacturing_cost,selling_price,revenue,gross_profit,profit_margin_percent
2020-01-31,2705,8578.12,0.0791,116.75,48865.98,48690.0,21.79,58933.74,10243.74,17.38
2020-02-29,2863,8731.96,0.0739,115.7,49207.25,51534.0,21.96,62871.48,11337.48,18.03
2020-03-31,3277,8634.05,0.0778,115.71,49153.99,58986.0,21.92,71834.61,12848.61,17.89
2020-04-30,3702,8580.38,0.0729,117.31,48692.6,66636.0,21.96,81295.92,14659.92,18.03
2020-05-31,3726,8771.88,0.0787,115.73,46289.76,67068.0,21.85,81407.33,14339.33,17.61
2020-06-30,3800,8703.44,0.0844,115.86,46433.36,68400.0,21.1,80163.13,11763.13,14.67
2020-07-31,3800,8339.2,0.0805,114.57,46120.04,68400.0,20.96,79650.56,11250.56,14.12
2020-08-31,3612,8390.72,0.0832,113.18,46178.3,65016.0,20.7,74768.4,9752.4,13.04
2020-09-30,3143,8254.25,0.0852,112.0,48662.36,56574.0,20.7,65060.1,8486.1,13.04
2020-10-31,2945,8143.42,0.0833,112.0,48323.99,53010.0,20.7,60961.5,7951.5,13.04
2020-11-30,2600,8404.21,0.0794,113.46,47741.29,46800.0,20.89,54310.94,7510.94,13.83
2020-12-31,2600,8730.71,0.0801,116.03,50033.33,46800.0,21.42,55690.13,8890.13,15.96
2021-01-31,2674,8644.63,0.0754,116.26,51000.0,48132.0,21.96,58721.04,10589.04,18.03
2021-02-28,2650,8994.5,0.0766,115.24,50125.01,47700.0,21.96,58194.0,10494.0,18.03
2021-03-31,2993,8407.04,0.0732,117.21,47534.5,53874.0,21.96,65726.28,11852.28,18.03
2021-04-30,3452,8883.09,0.0788,117.19,47612.61,62136.0,21.59,74519.34,12383.34,16.62
2021-05-31,3632,8663.06,0.0759,114.94,48263.53,65376.0,21.91,79591.78,14215.78,17.86
2021-06-30,3800,8455.15,0.0794,115.18,46134.83,68400.0,21.31,80962.81,12562.81,15.52
2021-07-31,3645,8363.76,0.0841,114.07,46855.06,65610.0,21.67,78981.06,13371.06,16.93
2021-08-31,3350,7942.06,0.0819,112.0,47320.67,60300.0,20.7,69345.0,9045.0,13.04
2021-09-30,3375,8167.05,0.0855,113.43,46508.46,60750.0,20.7,69862.5,9112.5,13.04
2021-10-31,2852,8293.76,0.0869,113.94,47952.38,51336.0,20.7,59036.4,7700.4,13.04
2021-11-30,2653,8571.68,0.0793,115.3,46156.99,47754.0,20.7,54917.1,7163.1,13.04
2021-12-31,2600,8422.26,0.0804,116.26,48479.53,46800.0,21.05,54731.89,7931.89,14.49
2022-01-31,2600,8528.73,0.078,114.35,49297.95,46800.0,21.33,55449.45,8649.45,15.6
2022-02-28,2893,8684.54,0.0772,115.61,48300.81,52074.0,21.92,63407.85,11333.85,17.87
2022-03-31,3061,8937.31,0.0725,117.62,50055.93,55098.0,21.96,67219.56,12121.56,18.03
2022-04-30,3565,8809.12,0.073,117.35,46855.89,64170.0,21.96,78287.4,14117.4,18.03
2022-05-31,3682,8570.54,0.0785,116.62,46897.96,66276.0,21.94,80791.01,14515.01,17.97
2022-06-30,3800,8576.99,0.0806,118.0,46805.55,68400.0,21.03,79922.8,11522.8,14.42
2022-07-31,3682,8364.56,0.083,114.69,47653.02,66276.0,20.7,76217.4,9941.4,13.04
2022-08-31,3742,8385.49,0.085,114.63,45552.27,67356.0,20.79,77809.47,10453.47,13.43
2022-09-30,3198,8094.69,0.0836,114.14,48180.53,57564.0,20.7,66198.6,8634.6,13.04
2022-10-31,2753,8191.04,0.0848,114.05,48008.19,49554.0,21.28,58572.24,9018.24,15.4
2022-11-30,2744,8291.18,0.0831,113.62,47964.79,49392.0,21.3,58459.82,9067.82,15.51
2022-12-31,2600,8280.47,0.0786,115.91,49668.72,46800.0,21.07,54784.85,7984.85,14.57
2023-01-31,2670,8694.42,0.0812,115.07,49659.25,48060.0,20.98,56025.34,7965.34,14.22
2023-02-28,2644,8798.97,0.0766,116.45,48818.86,47592.0,21.96,58062.24,10470.24,18.03
2023-03-31,3040,8800.77,0.0726,116.42,48805.84,54720.0,21.92,66633.05,11913.05,17.88
2023-04-30,3543,8724.62,0.077,116.83,47691.75,63774.0,21.96,77804.28,14030.28,18.03
2023-05-31,3800,8437.69,0.0756,118.0,47340.81,68400.0,21.03,79898.82,11498.82,14.39
2023-06-30,3800,8436.9,0.0816,112.76,47230.67,68400.0,21.02,79892.05,11492.05,14.38
2023-07-31,3740,8298.59,0.0848,114.82,47768.81,67320.0,20.88,78098.26,10778.26,13.8
2023-08-31,3483,8119.85,0.0827,112.0,45710.71,62694.0,20.7,72098.1,9404.1,13.04
2023-09-30,3022,8175.81,0.0869,112.43,48956.43,54396.0,20.7,62555.4,8159.4,13.04
2023-10-31,2793,8300.8,0.0852,114.57,46438.33,50274.0,20.84,58208.04,7934.04,13.63
2023-11-30,2600,8632.93,0.0841,114.08,48628.57,46800.0,20.7,53820.0,7020.0,13.04
2023-12-31,2686,8526.19,0.0838,113.71,49769.69,48348.0,21.19,56912.96,8564.96,15.05
2024-01-31,2686,8688.63,0.077,115.14,49724.79,48348.0,21.64,58133.92,9785.92,16.83
2024-02-29,2668,8748.64,0.0742,117.55,48800.88,48024.0,21.96,58589.28,10565.28,18.03
2024-03-31,3238,8512.18,0.0732,116.12,48583.5,58284.0,21.96,71106.48,12822.48,18.03
2024-04-30,3473,8755.83,0.074,116.99,47605.6,62514.0,21.46,74525.95,12011.95,16.12
2024-05-31,3673,8659.03,0.0773,116.05,46778.51,66114.0,21.05,77308.27,11194.27,14.48
2024-06-30,3800,8869.49,0.0807,114.22,47380.64,68400.0,21.7,82459.86,14059.86,17.05
2024-07-31,3800,8321.15,0.0831,116.57,46785.61,68400.0,21.0,79798.61,11398.61,14.28
2024-08-31,3631,8285.42,0.086,114.03,46146.63,65358.0,20.7,75161.7,9803.7,13.04
2024-09-30,3099,8194.79,0.085,112.0,47969.68,55782.0,21.08,65322.01,9540.01,14.6
2024-10-31,2842,8064.89,0.0872,113.49,48245.84,51156.0,20.7,58829.4,7673.4,13.04
2024-11-30,2685,8521.42,0.082,113.21,49400.29,48330.0,21.3,57202.71,8872.71,15.51
2024-12-31,2677,8612.79,0.0854,116.02,49802.74,48186.0,21.26,56924.55,8738.55,15.35
